Win/Lose,Game Time,Score,Hit Count,Date
1,78.8426092,1200,9,11.1.2021
0,51.3001102,800,2,11.1.2021
1,78.5618137,1200,8,11.1.2021
0,45.1221459,400,5,11.1.2021
1,71.5270529,1200,2,11.1.2021
0,57.7482037,700,3,11.1.2021
0,73.7807847,900,5,11.1.2021
1,70.7118938,1200,5,11.1.2021
1,79.9391267,1200,6,11.1.2021
1,99.9097926,1200,8,11.1.2021
1,61.563247,1200,4,11.1.2021
0,70.3250153,1200,3,11.1.2021
0,45.1808554,800,8,11.1.2021
1,96.5605834,1200,2,11.1.2021
0,39.4063153,800,2,11.1.2021
1,75.3765679,1200,3,11.1.2021
1,78.3639247,1200,2,11.1.2021
1,115.3033092,1200,9,11.1.2021
1,73.1511566,1200,2,11.1.2021
0,51.8124282,600,3,11.2.2021
0,50.2725556,800,4,11.2.2021
1,84.9352549,1200,8,11.2.2021
1,95.9845878,1200,9,11.2.2021
0,29.1799128,100,7,11.2.2021
0,22.0353315,200,5,11.2.2021
0,62.9276151,1100,3,11.2.2021
0,71.8164913,900,1,11.2.2021
0,62.4368035,600,2,11.2.2021
0,83.7864327,500,5,11.2.2021
